id,repo,path,full_path_to_open,pass1_path_only,pass2_after_reading_file,confident_yes_no,notes
35,"n-dx-1","packages/web/src/viewer/performance/memory-monitor.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/performance/memory-monitor.ts",,,,
36,"AsterMind-Community-Edition","node_examples/experiments/agnews-tfidf-elm-distillation.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/node_examples/experiments/agnews-tfidf-elm-distillation.ts",,,,
37,"n-dx-1","packages/hench/src/process/exec-shell.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/process/exec-shell.ts",,,,
38,"n-dx-1","packages/web/src/viewer/polling/engine/polling-restart.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/polling/engine/polling-restart.ts",,,,
39,"n-dx-1","packages/hench/src/agent/planning/brief.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/planning/brief.ts",,,,
40,"n-dx-1","packages/web/src/viewer/messaging/message-coalescer.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/messaging/message-coalescer.ts",,,,
41,"AsterMind-Community-Edition","examples/lessons/L01-js-ts-in-this-repo/live-demo.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/lessons/L01-js-ts-in-this-repo/live-demo.js",,,,
42,"AsterMind-Community-Edition","src/pro/omega/Omega.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/pro/omega/Omega.ts",,,,
43,"n-dx-1","packages/hench/src/tools/exec-shell.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/tools/exec-shell.ts",,,,
44,"n-dx-1","packages/sourcevision/src/analyzers/server-route-detection.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/server-route-detection.ts",,,,
45,"AsterMind-Community-Edition","src/tasks/VotingClassifierELM.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/tasks/VotingClassifierELM.ts",,,,
46,"n-dx-1","packages/web/src/shared/features.ts","/Users/nolanmoore/n-dx-1/packages/web/src/shared/features.ts",,,,
47,"n-dx-1","packages/sourcevision/src/util/paths.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/util/paths.ts",,,,
48,"n-dx-1","packages/hench/src/agent/lifecycle/plan-mode-prompt.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/lifecycle/plan-mode-prompt.ts",,,,
49,"n-dx-1","packages/web/src/server/routes-rex/rex-route-helpers.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/routes-rex/rex-route-helpers.ts",,,,
50,"AsterMind-Community-Edition","src/synth/encoders/OneHot.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/synth/encoders/OneHot.ts",,,,
51,"n-dx-1","packages/sourcevision/src/analyzers/enrich-per-zone.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/enrich-per-zone.ts",,,,
52,"AsterMind-Community-Edition","src/preprocessing/UniversalEncoder.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/preprocessing/UniversalEncoder.ts",,,,
53,"AsterMind-Community-Edition","examples/ag-news-demo/agnews-worker.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/ag-news-demo/agnews-worker.js",,,,
54,"n-dx-1","packages/llm-client/src/suppress-deprecations.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/suppress-deprecations.ts",,,,
55,"n-dx-1","packages/sourcevision/src/analyzers/imports.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/imports.ts",,,,
56,"n-dx-1","packages/web/src/server/mcp-subprocess-proxy.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/mcp-subprocess-proxy.ts",,,,
57,"n-dx-1","packages/web/dev.js","/Users/nolanmoore/n-dx-1/packages/web/dev.js",,,,
58,"n-dx-1","packages/rex/src/recommend/conflict-detection.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/recommend/conflict-detection.ts",,,,
59,"n-dx-1","packages/web/src/server/routes-rex/items.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/routes-rex/items.ts",,,,
60,"n-dx-1","packages/hench/src/cli/help.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/cli/help.ts",,,,
61,"n-dx-1","packages/llm-client/src/vendor-header.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/vendor-header.ts",,,,
62,"n-dx-1","packages/llm-client/src/llm-config.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/llm-config.ts",,,,
63,"n-dx-1","packages/hench/src/tools/shell.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/tools/shell.ts",,,,
64,"n-dx-1","packages/hench/src/agent/analysis/summary.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/analysis/summary.ts",,,,
65,"n-dx-1","packages/rex/src/cli/mcp.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/cli/mcp.ts",,,,
66,"n-dx-1","packages/hench/src/queue/execution-queue.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/queue/execution-queue.ts",,,,
67,"AsterMind-Community-Edition","src/tasks/AutoComplete.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/tasks/AutoComplete.ts",,,,
68,"n-dx-1","packages/sourcevision/src/language/go.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/language/go.ts",,,,
69,"n-dx-1","packages/hench/src/guard/paths.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/guard/paths.ts",,,,
70,"n-dx-1","packages/hench/src/tools/cleanup-transformations.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/tools/cleanup-transformations.ts",,,,
71,"AsterMind-Community-Edition","examples/lessons/L00-elm-primer/speaker-notes.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/lessons/L00-elm-primer/speaker-notes.js",,,,
72,"n-dx-1","packages/hench/src/process/memory-monitor.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/process/memory-monitor.ts",,,,
73,"n-dx-1","packages/sourcevision/src/analyzers/archetypes.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/archetypes.ts",,,,
74,"n-dx-1","packages/web/src/server/prd-io.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/prd-io.ts",,,,
75,"n-dx-1","packages/web/src/viewer/utils.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/utils.ts",,,,
76,"n-dx-1","packages/llm-client/src/provider-registry.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/provider-registry.ts",,,,
77,"n-dx-1","packages/sourcevision/src/analyzers/token-usage.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/token-usage.ts",,,,
78,"n-dx-1","packages/llm-client/src/vendor-failover.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/vendor-failover.ts",,,,
79,"n-dx-1","packages/web/src/viewer/messaging/message-throttle.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/messaging/message-throttle.ts",,,,
80,"AsterMind-Community-Edition","examples/lessons/L06-kernels-nystrom/speaker-notes.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/lessons/L06-kernels-nystrom/speaker-notes.js",,,,
81,"AsterMind-Community-Edition","src/preprocessing/TextEncoder.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/preprocessing/TextEncoder.ts",,,,
82,"AsterMind-Community-Edition","src/tasks/FeatureCombinerELM.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/tasks/FeatureCombinerELM.ts",,,,
83,"n-dx-1","packages/rex/src/analyze/reshape-reason.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/analyze/reshape-reason.ts",,,,
